,Cantonese,English
633,恤衫,shirt
634,沖廁,to flush
635,功課,homework
636,廁所,toilet
637,箭豬,porcupine
638,馴鹿,reindeer
639,松鼠,squirrel
640,老虎,tiger
641,雀仔,bird
642,蝙蝠,bat
643,學士,Bachelor's Degree (BA) 
644,熊貓,panda
645,證書,certificate
646,學位,degree
647,大學,university
648,烏鴉,crow
649,白鴿,dove / pigeon
650,鸚鵡,parrot
651,海鷗,seagull
652,海豚,dolphin
653,文憑,diploma
654,鯊魚,shark
655,老鼠,mouse / rat
656,獅子,lion
657,數學,math
658,工程,engineering
659,物理,physics
660,科學,science
661,化學,chemistry
662,動物,animal
663,貓 ,cat
664,馬騮,monkey
665,貓仔,kitty cat
666,母雞,hen
667,公雞,rooster
668,綿羊,sheep
669,博士,Doctorate (PhD)
670,山羊,goat
671,刺蝟,hedgehog
672,樹熊,koala
673,狗仔,doggy
674,鯨魚,whale
675,螞蟻,ant
676,蜜蜂,bee
677,鬚刨,razor
678,紙巾,Kleenex
679,瀉藥,laxative
680,唇膏,lipstick
681,讀書,study
682,化妝,make-up
683,老師,teacher
684,溫習,revise
685,香水,perfume
686,學生,student
687,沖涼,shower
688,學期,term / semester
689,番梘,bar soap
690,梘液,liquid soap
691,校長,principal
692,棉條,tampon
693,M巾,menstrual pad
694,牙線,dental floss
695,學校,school
696,浴缸,bathtub
697,蝴蝶,butterfly
698,曱甴,cockroach
699,蜻蜓,dragonfly
700,烏蠅,fly
701,中學,secondary school
702,小學,primary school
703,金龜,ladybug
704,蜘蛛,spider
705,鱷魚,crocodile
706,青蛙,frog
707,蜥蜴,lizard
708,蛇 ,snake
709,羽毛,feather
710,下巴,jaws
711,尾巴,tail
712,觸手,tentacle
713,樹皮,bark
714,橙色,orange
715,好小,so small
716,深色,dark color
717,紫色,purple
718,白酒,white wine
719,紅茶,black tea
720,綠茶,green tea
721,涼茶,herbal tea
722,一千,thousand
723,壽眉,Sau Mei tea
724,奶茶,milk tea
725,一百,hundred
726,汽水,pop / soda / soft drink
727,可樂,coke
728,三十,thirty
729,檸樂,lemon Coke
730,百事,Pepsi
731,芬達,Fanta
732,十二,twelve
733,紅酒,red wine
734,豆漿,soy milk
735,奶昔,milkshake
736,咖啡,coffee
737,擔心,worried
738,飽 ,full
739,口渴,thirsty 
740,電視,TV
741,電話,telephone
742,好食,delicious
743,新鮮,fresh
744,七喜,7 Up
745,太陽,sun
746,植物,plant
747,屋企,home
748,好味,tasty
749,温暖,warm
750,酒精,alcohol (chemical substance)
751,啤酒,beer
752,一半,half
753,變壞,gone bad
754,難受,uncomfortable
755,十一,eleven
756,早餐,breakfast
757,荔枝,lychee
758,芒果,mango
759,再見,bye
760,食飯,bon appétit!
761,木瓜,papaya
762,菠蘿,pineapple
763,紅莓,raspberry
764,楊桃,starfruit
765,西瓜,watermelon
766,蔬菜,vegetable
767,蘆筍,asparagus
768,白菜,bok choy
769,多謝,thank you!
770,椰菜,cabbage
771,唔該,thank you!
772,龍眼,longan
773,青檸,lime
774,檸檬,lemon
775,蜜瓜,honeydew melon
776,晚餐,dinner / supper
777,午餐,lunch
778,點心,dim sum
779,沙律,salad
780,壽司,sushi
781,生果,fruit
782,蘋果,apple
783,雪碧,Sprite
784,香蕉,banana
785,佢哋,they
786,你哋,you (plural)
787,椰子,coconut
788,榴蓮,durian
789,西柚,grapefruit
790,提子,grapes
791,早晨,good morning
792,藍莓,blueberry
793,口渴,thirsty
794,地理,geography
795,驚訝,surprised
796,娛樂,entertainment
797,出名,famous
798,容易,easy
799,偶像,idol
800,歌手,singer
801,得意,cute
802,覺得,feel (verb)
803,感覺,feel (noun)
804,明星,celebrity
805,抱怨,complain
806,原諒,forgive
807,八卦,gossip
808,擔心,worry
809,希望,hope
810,多謝,thank
811,黐線,crazy
812,等陣,wait for
813,識聽,understand (a language)
814,恭喜,congrats
815,演員,actor
816,老婆,wife
817,阿哥,sister
818,紅色,red
819,銀色,silver
820,透明,transparent
821,白色,white
822,黃色,yellow
823,電腦,computer
824,傾偈,chat
825,多啲,more
826,滑鼠,mouse
827,哥哥,brother
828,阿女,daughter
829,阿仔,son
830,老竇,father
831,開心,happy
832,嫲嫲,grandmother
833,老公,husband
834,阿媽,mother
835,親戚,family relative
836,家姐,sister
837,明白,understand (a concept)
838,翻譯,translate
839,後悔,regret
840,舒服,comfortable
841,眼瞓,sleepy
842,動詞,verb
843,可以,can / may
844,震驚,shocked
845,傷心,sad
846,驕傲,proud
847,緊張,nervous
848,妒忌,jealous
849,冷漠,indifferent
850,平靜,calm
851,鍾意,like
852,知道,know
853,絕望,hopeless
854,翻嚟,come back
855,想要,want to have
856,開心,happy
857,內疚,guilty
858,興奮,excited
859,返去,go back
860,沮喪,frustrated
861,羡慕,envious
862,感激,grateful
863,失望,disappointed
864,開心,glad
865,一萬 ,ten thousand
866,幾多個,how many?
867,煙灰缸,ashtray
868,你好嗎,how are you
869,小朋友,kid / child
870,經濟學,economics
871,蒲公英,dandelion
872,聖誕樹,Christmas tree
873,仙人掌,cactus
874,地鐵站,subway station
875,幼稚園,kindergarten
876,白板 ,whiteboard 
877,穆斯林,Muslim
878,紅綠燈,traffic lights
879,微積分,calculus
880,電單車,motorcycle
881,邊度?,where?
882,向日葵,sunflower
883,部份 ,part 
884,巴士站,bus stop
885,電視劇,TV series
886,畢業 ,graduate 
887,收音機,radio
